	Actinobacteria1	Actinobacteria2	Alphaproteobacteria	Bacillales	Bacteroidetes	Burkholderiales	Pseudomonas	Xanthomonadaceae
OG0000652|K01998|livM; branched-chain amino acid transport system permease protein		PA	PA					
OG0000207|K01995|livG; branched-chain amino acid transport system ATP-binding protein		PA	PA					
OG0000065|K06861|lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]								
OG0005127||								
OG0000214|K01999|livK; branched-chain amino acid transport system substrate-binding protein		PA	PA		PA	PA		
OG0000363|K05786|rarD; chloramphenicol-sensitive protein RarD		PA	PA		PA			
OG0001112|K04078|groES; chaperonin GroES								
OG0003954||								
OG0004435||								
OG0000822|K01409|KAE1; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]			PA					
OG0000330|K03789|rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]						PA		
OG0000865|K14742|tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB			PA					
OG0000926|K06925|tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE			PA					
OG0000467|K01775|alr; alanine racemase [EC:5.1.1.1]	PA							
OG0003119|K00997|acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]			PA		PA			
OG0000849|K00820|glmS; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]								
OG0002543|K00867|coaA; type I pantothenate kinase [EC:2.7.1.33]			PA					
OG0000212|K03431|glmM; phosphoglucosamine mutase [EC:5.4.2.10]								
OG0001054|K02996|RP-S9; small subunit ribosomal protein S9								
OG0000899|K02871|RP-L13; large subunit ribosomal protein L13								
OG0000700|K06173|truA; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]								
OG0000391|K03827|yjaB; putative acetyltransferase [EC:2.3.1.-]			PA	PA				
OG0000954|K02879|RP-L17; large subunit ribosomal protein L17								
OG0000955|K03040|rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]								
OG0001087|K02948|RP-S11; small subunit ribosomal protein S11								
OG0001088|K02952|RP-S13; small subunit ribosomal protein S13			PA				PA	
OG0001127|K02919|RP-L36; large subunit ribosomal protein L36			PA				PA	
OG0000801|K02518|infA; translation initiation factor IF-1								
OG0000294|K01265|map; methionyl aminopeptidase [EC:3.4.11.18]								
OG0001089|K03076|secY; preprotein translocase subunit SecY								
OG0000490||								
OG0000956|K02876|RP-L15; large subunit ribosomal protein L15								
OG0001090|K02907|RP-L30; large subunit ribosomal protein L30								
OG0000957|K02988|RP-S5; small subunit ribosomal protein S5								
OG0000958|K02881|RP-L18; large subunit ribosomal protein L18								
OG0001091|K02933|RP-L6; large subunit ribosomal protein L6								
OG0001092|K02994|RP-S8; small subunit ribosomal protein S8								
OG0001094|K02931|RP-L5; large subunit ribosomal protein L5								
OG0001095|K02895|RP-L24; large subunit ribosomal protein L24								
OG0001096|K02874|RP-L14; large subunit ribosomal protein L14								
OG0001097|K02961|RP-S17; small subunit ribosomal protein S17								
OG0000959|K02904|RP-L29; large subunit ribosomal protein L29								
OG0000960|K02878|RP-L16; large subunit ribosomal protein L16								
OG0001098|K02982|RP-S3; small subunit ribosomal protein S3								
OG0000961|K02890|RP-L22; large subunit ribosomal protein L22								
OG0001099|K02965|RP-S19; small subunit ribosomal protein S19								
OG0001100|K02886|RP-L2; large subunit ribosomal protein L2								
OG0000962|K02892|RP-L23; large subunit ribosomal protein L23								
OG0001101|K02926|RP-L4; large subunit ribosomal protein L4								
OG0001102|K02906|RP-L3; large subunit ribosomal protein L3								
OG0001103|K02946|RP-S10; small subunit ribosomal protein S10								
OG0001719|K01805|xylA; xylose isomerase [EC:5.3.1.5]		PA	PA		PA	PA	PA	PA
OG0000679|K02358|tuf; elongation factor Tu			PA					
OG0000680|K02355|fusA; elongation factor G			PA					
OG0001104|K02992|RP-S7; small subunit ribosomal protein S7								
OG0001105|K02950|RP-S12; small subunit ribosomal protein S12								
OG0006261||								
OG0000151|K03924|moxR; MoxR-like ATPase [EC:3.6.3.-]	PA		PA			PA		
OG0000119|K00864|glpK; glycerol kinase [EC:2.7.1.30]			PA			PA		
OG0006262||								
OG0000107|K12132|prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]								
OG0004465||								
OG0000809|K20074|prpC; PPM family protein phosphatase [EC:3.1.3.16]								
OG0004436||								
OG0000060|K00344|qor; NADPH2:quinone reductase [EC:1.6.5.5]			PA		PA	PA		
OG0001778|K00865|glxK; glycerate 2-kinase [EC:2.7.1.165]						PA		PA
OG0000963|K03046|rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]								
OG0000964|K03043|rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]								
OG0000704|K06350|kipA; antagonist of KipI								
OG0000416|K07160|UPF0271 protein		PA	PA		PA			
OG0000710|K21430|yliI; aldose sugar dehydrogenase [EC:1.1.5.-]								
OG0004489||								
OG0003976||								
OG0006207||								
OG0006263||								
OG0002782||								
OG0005128|K05979|comB; 2-phosphosulfolactate phosphatase [EC:3.1.3.71]	PA	PA			PA			
OG0000684|K13877|aldH; 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]								
OG0000164|K01714|dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]			PA			PA		
OG0006264||								
OG0003627|K09955|uncharacterized protein	PA		PA	PA	PA	PA		PA
OG0005129||								
OG0006166||								
OG0000876|K03724|lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]			PA		PA	PA		
OG0003147||								
OG0002668||								
OG0002796||								
OG0002094|K20542|bcsZ; endoglucanase [EC:3.2.1.4]								
OG0000511|K00721|DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]		PA	PA			PA	PA	
OG0000590|K03316|TC.CPA1; monovalent cation:H+ antiporter, CPA1 family	PA		PA		PA	PA		
OG0000879||								
OG0005130||								
OG0006266||								
OG0000529|K18555|qnr; fluoroquinolone resistance protein								
OG0000522||								
OG0002421||								
OG0003133||								
OG0003085|K01104|E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]			PA					
OG0000947|K04485|radA; DNA repair protein RadA/Sms								
OG0006167||								
OG0000566|K01119|cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]			PA					
OG0001971|K14682|argAB; amino-acid N-acetyltransferase [EC:2.3.1.1]								
OG0006168||								
OG0000319|K06131|clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]			PA		PA			
OG0000864|K04567|KARS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]			PA					
OG0000320|K15977|putative oxidoreductase			PA		PA			
OG0006267||								
OG0002544|K08981|putative membrane protein				PA				
OG0003148|K09167|uncharacterized protein				PA				
OG0000394|K00950|folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]			PA		PA			
OG0000641|K01633|folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]			PA					
OG0000410|K01495|GCH1; GTP cyclohydrolase IA [EC:3.5.4.16]					PA	PA		
OG0000130|K06194|nlpD; lipoprotein NlpD			PA					
OG0003629||								
OG0000568|K03741|arsC2; arsenate reductase (thioredoxin) [EC:1.20.4.4]		PA		PA			PA	
OG0001895|K07273|acm; lysozyme		PA	PA		PA	PA	PA	
OG0006268|K02017|modC; molybdate transport system ATP-binding protein [EC:3.6.3.29]	PA		PA					
OG0000843|K13038|coaBC; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]			PA					
OG0002168||								
OG0002281||								
OG0003643|K05937|uncharacterized protein				PA				
OG0001012|K03893|arsB; arsenical pump membrane protein			PA					
OG0005131||								
OG0001206|K03272|gmhC; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]								
OG0000201|K22278|pdgA; peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]								
OG0001082|K07054|uncharacterized protein	PA		PA		PA			PA
OG0000251|K16692|etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]						PA		
OG0006269||								
OG0003961||								
OG0006270|K13658|gumI; beta-1,4-mannosyltransferase [EC:2.4.1.251]								PA
OG0004466|K16556|exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]		PA	PA					
OG0005132|K00232|E1.3.3.6; acyl-CoA oxidase [EC:1.3.3.6]		PA						
OG0000285|K03654|recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]		PA	PA					
OG0002292||								
OG0005133||								
OG0004456||								
OG0000806|K09796|pccA; periplasmic copper chaperone A	PA	PA						
OG0000290|K06911|uncharacterized protein			PA		PA			
OG0006208||								
OG0001416||								
OG0001903|K03929|pnbA; para-nitrobenzyl esterase [EC:3.1.1.-]	PA		PA		PA	PA		PA
OG0000767||								
OG0001392|K09932|uncharacterized protein	PA	PA	PA		PA	PA		
OG0000543|K14063|feaR; AraC family transcriptional regulator, positive regulator of tynA and feaB							PA	
OG0000054|K02624|pcaR; IclR family transcriptional regulator, pca regulon regulatory protein		PA	PA			PA		
OG0003602|K07149|uncharacterized protein							PA	
OG0002549|K07700|dpiB; two-component system, CitB family, cit operon sensor histidine kinase CitA [EC:2.7.13.3]								
OG0000509||								
OG0004438||								
OG0002305||								
OG0002792||								
OG0000533|K06199|crcB; fluoride exporter			PA		PA			
OG0005134||								
OG0006290||								
OG0006169||								
OG0001730||								
OG0000786|K01933|purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]								
OG0000418|K06916|zapE; cell division protein ZapE								
OG0006271||								
OG0003068||								
OG0000934|K01945|purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]								
OG0000730|K01923|purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]								
OG0000147|K00060|tdh; threonine 3-dehydrogenase [EC:1.1.1.103]		PA	PA					
OG0000097|K01066|aes; acetyl esterase [EC:3.1.1.-]	PA	PA	PA		PA	PA		PA
OG0005135|K09684|pucR; purine catabolism regulatory protein		PA	PA				PA	
OG0000520|K07250|gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]								
OG0003610||								
OG0003980|K01952|purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]								
OG0000516|K01952|purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]								
OG0000017|K03762|proP; MFS transporter, MHS family, proline/betaine transporter		PA					PA	
OG0000134|K01697|CBS; cystathionine beta-synthase [EC:4.2.1.22]						PA		
OG0005136||								
OG0000035||								
OG0000268|K19267|qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	PA	PA	PA			PA	PA	PA
OG0005137||								
OG0005100||								
OG0001015|K03811|pnuC; nicotinamide mononucleotide transporter	PA	PA				PA		
OG0000308|K02004|ABC.CD.P; putative ABC transport system permease protein			PA		PA	PA		
OG0000209|K07003|uncharacterized protein	PA		PA					
OG0003630|K01421|yhgE; putative membrane protein	PA	PA						
OG0002193|K02053|ABC.SP.P; putative spermidine/putrescine transport system permease protein	PA	PA	PA			PA	PA	
OG0002194|K02054|ABC.SP.P1; putative spermidine/putrescine transport system permease protein	PA	PA	PA			PA		
OG0001505|K02055|ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein	PA	PA	PA			PA		
OG0000573|K07404|pgl; 6-phosphogluconolactonase [EC:3.1.1.31]		PA	PA			PA	PA	
OG0000022|K13653|AraC family transcriptional regulator		PA	PA			PA	PA	
OG0000929|K01939|purA; adenylosuccinate synthase [EC:6.3.4.4]			PA					
OG0000246|K21064|ycsE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]								
OG0002309||								
OG0000990||								
OG0006338||								
OG0002418||								
OG0000724|K00762|pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]			PA		PA			
OG0001549|K16238|eat; ethanolamine permease		PA	PA		PA			PA
OG0000071|K01915|glnA; glutamine synthetase [EC:6.3.1.2]								
OG0001345|K07010|putative glutamine amidotransferase			PA					
OG0000008|K00135|gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]			PA		PA	PA		
OG0000052|K05799|pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex		PA	PA		PA			
OG0003122||								
OG0000453|K01142|E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]			PA					
OG0000029|K16235|mmuP; S-methylmethionine transporter	PA						PA	PA
OG0000433|K07088|uncharacterized protein	PA	PA	PA		PA		PA	
OG0000995|K07119|uncharacterized protein		PA	PA		PA	PA		
OG0002545|K08987|putative membrane protein	PA	PA	PA			PA		
OG0000525|K16137|nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon		PA	PA	PA	PA	PA		
OG0000135|K15553|ssuA; sulfonate transport system substrate-binding protein		PA	PA			PA		
OG0000125|K15554|ssuC; sulfonate transport system permease protein		PA	PA			PA		
OG0005162||								
OG0006321||								
OG0002814||								
OG0001650|K01620|ltaE; threonine aldolase [EC:4.1.2.48]		PA	PA			PA		
OG0001156|K01733|thrC; threonine synthase [EC:4.2.3.1]			PA					
OG0000184|K01895|ACSS; acetyl-CoA synthetase [EC:6.2.1.1]								
OG0000192|K10679|nfnB; nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]								
OG0006273||								
OG0000521|K04095|fic; cell filamentation protein			PA					
OG0002939||								
OG0000912||								
OG0000114|K02013|ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]	PA	PA				PA		
OG0005138||								
OG0001426|K02193|ccmA; heme exporter protein A [EC:3.6.3.41]								
OG0003981|K03429|ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]						PA		
OG0006339||								
OG0004008||								
OG0002485|K11391|rlmG; 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]								
OG0001274|K07046|L-fuconolactonase [EC:3.1.1.-]			PA			PA		PA
OG0004448||								
OG0000441|K05350|bglB; beta-glucosidase [EC:3.2.1.21]	PA	PA	PA		PA	PA	PA	
OG0000419|K13893|yejA; microcin C transport system substrate-binding protein			PA				PA	
OG0002182||								
OG0000621|K10027|crtI; phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]	PA	PA						
OG0002310|K02291|crtB; 15-cis-phytoene synthase [EC:2.5.1.32]	PA		PA					
OG0001258|K01823|idi; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]								PA
OG0005140||								
OG0006204|K10233|aglF; alpha-glucoside transport system permease protein			PA					
OG0005141|K15269|pecM; probable blue pigment (indigoidine) exporter			PA			PA		
OG0001291|K01494|dcd; dCTP deaminase [EC:3.5.4.13]							PA	
OG0001354|K01951|guaA; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]								
OG0003631|K08093|hxlA; 3-hexulose-6-phosphate synthase [EC:4.1.2.43]	PA			PA				
OG0000601|K06041|kdsD; arabinose-5-phosphate isomerase [EC:5.3.1.13]		PA	PA					
OG0006203|K10232|aglE; alpha-glucoside transport system substrate-binding protein			PA					
OG0001348|K10947|padR; PadR family transcriptional regulator, regulatory protein PadR		PA				PA		
OG0006274|K09702|uncharacterized protein	PA		PA		PA		PA	PA
OG0003982|K07052|uncharacterized protein	PA	PA	PA					
OG0000048|K03892|arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor			PA		PA		PA	
OG0000555||								
OG0005142||								
OG0000968|K03641|tolB; TolB protein		PA						
OG0001273|K02510|hpaI; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]		PA	PA			PA		PA
OG0004480|K08221|yitG; MFS transporter, ACDE family, multidrug resistance protein								
OG0002306|K07148|uncharacterized protein		PA						
OG0000351|K00480|E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]		PA	PA			PA		
OG0004483|K09166|uncharacterized protein	PA							
OG0005143||								
OG0003109||								
OG0000265|K07058|membrane protein						PA		
OG0000530|K14274|xylC; xylonolactonase [EC:3.1.1.-]								
OG0002534||								
OG0000146|K05349|bglX; beta-glucosidase [EC:3.2.1.21]	PA		PA	PA	PA	PA	PA	PA
OG0001107|K02864|RP-L10; large subunit ribosomal protein L10								
OG0003140|K00318|PRODH; proline dehydrogenase [EC:1.5.-.-]	PA							
OG0000579|K02503|HINT1; histidine triad (HIT) family protein			PA					
OG0005144||								
OG0003127||								
OG0005103||								
OG0004440||								
OG0005091||								
OG0003256|K07006|uncharacterized protein			PA		PA	PA		
OG0002095|K01473|hyuA; N-methylhydantoinase A [EC:3.5.2.14]		PA	PA			PA		
OG0003955|K09703|uncharacterized protein		PA	PA					
OG0002210||								
OG0000234|K01607|pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]			PA	PA		PA		
OG0004439||								
OG0001182|K01546|kdpA; K+-transporting ATPase ATPase A chain [EC:3.6.3.12]			PA		PA	PA		
OG0001183|K01547|kdpB; K+-transporting ATPase ATPase B chain [EC:3.6.3.12]			PA		PA	PA		
OG0001184|K01548|kdpC; K+-transporting ATPase ATPase C chain [EC:3.6.3.12]	PA		PA		PA	PA		
OG0003120||								
OG0000128|K03294|TC.APA; basic amino acid/polyamine antiporter, APA family			PA		PA		PA	
OG0000108|K20938|ladA; long-chain alkane monooxygenase [EC:1.14.14.28]								
OG0004010|K06306|yaaH; spore germination protein								
OG0000267|K13573|pafC; proteasome accessory factor C								
OG0004467|K21159|sgcF; epoxide hydrolase								
OG0002167|K02011|afuB; iron(III) transport system permease protein		PA	PA					
OG0001406|K02012|afuA; iron(III) transport system substrate-binding protein		PA	PA					
OG0003135||								
OG0000395|K03718|asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA		PA	PA					
OG0001228|K07002|uncharacterized protein	PA	PA	PA		PA	PA		
OG0003128||								
OG0000501|K00077|panE; 2-dehydropantoate 2-reductase [EC:1.1.1.169]			PA			PA		
OG0002535|K14761|ybcJ; ribosome-associated protein		PA			PA	PA		
OG0001431|K06191|nrdH; glutaredoxin-like protein NrdH			PA			PA		
OG0000440|K05791|terZ; tellurium resistance protein TerZ	PA				PA		PA	
OG0000619|K03321|TC.SULP; sulfate permease, SulP family			PA					
OG0000991|K05794|terC; tellurite resistance protein TerC			PA					
OG0002540||								
OG0003129||								
OG0002133|K17837|bla2; metallo-beta-lactamase class B [EC:3.5.2.6]					PA			
OG0001676|K13639|soxR; MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR		PA	PA					
OG0000561|K03798|ftsH; cell division protease FtsH [EC:3.4.24.-]								
OG0001578||								
OG0004407||								
OG0000661|K00013|hisD; histidinol dehydrogenase [EC:1.1.1.23]			PA					
OG0001516|K03457|TC.NCS1; nucleobase:cation symporter-1, NCS1 family		PA	PA			PA		
OG0002083||								
OG0001344||								
OG0006291||								
OG0006277||								
OG0000524|K04080|ibpA; molecular chaperone IbpA								
OG0000215|K00278|nadB; L-aspartate oxidase [EC:1.4.3.16]			PA		PA	PA		
OG0002546|K03523|bioY; biotin transport system substrate-specific component		PA	PA			PA		
OG0000031|K00626|E2.3.1.9; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]			PA					
OG0003634|K16784|bioM; biotin transport system ATP-binding protein [EC:3.6.3.-]		PA	PA			PA		
OG0006348||								
OG0001293|K03313|nhaA; Na+:H+ antiporter, NhaA family		PA	PA				PA	
OG0004930|K14340|mannosyltransferase [EC:2.4.1.-]	PA	PA						
OG0003605||								
OG0003985||								
OG0000502|K03750|moeA; molybdopterin molybdotransferase [EC:2.10.1.1]			PA					
OG0000770||								
OG0000965|K02863|RP-L1; large subunit ribosomal protein L1								
OG0001298|K09781|uncharacterized protein			PA			PA		
OG0001881|K14731|mlhB; epsilon-lactone hydrolase [EC:3.1.1.83]								
OG0001108|K02867|RP-L11; large subunit ribosomal protein L11								
OG0001461|K14189|dltE; uncharacterized oxidoreductase [EC:1.-.-.-]	PA		PA	PA	PA	PA		
OG0000682|K01649|leuA; 2-isopropylmalate synthase [EC:2.3.3.13]			PA					
OG0001148||								
OG0000966|K02601|nusG; transcriptional antiterminator NusG								
